Zip code,count,Rating,Lat,Lon
78646,2,9.0,30.273204999999997,-97.800709
78664,1,7.0,30.3640673867888,-97.6942491531372
78701,115,7.3652173913043475,30.26544207130733,-97.74494767652422
78702,124,7.838709677419355,30.264890520428587,-97.72220241555314
78703,55,7.636363636363637,30.29152666964129,-97.75879910555402
78704,40,8.65,30.245300125255,-97.75864560535146
78705,105,8.104761904761904,30.29084784412508,-97.74277511678585
78708,12,9.0,30.267153000000004,-97.74306079999998
78717,4,6.25,30.485134097592024,-97.77693014516005
78721,2,5.5,30.285535000000003,-97.68281999999999
78722,11,7.7272727272727275,30.291206719998648,-97.71276505411187
78723,27,7.2592592592592595,30.31188124725214,-97.699968476066
78724,1,8.0,30.2905233681257,-97.6293001323938
78727,4,8.75,30.428210821964697,-97.7393598974533
78728,5,6.8,30.44569842308702,-97.68183250673904
78729,6,6.666666666666667,30.439316333333327,-97.77520799999998
78731,20,7.7,30.330529555769896,-97.7535511980404
78732,3,5.333333333333333,30.3797707428659,-97.89303254534916
78736,1,10.0,30.242815999999998,-97.939363
78737,2,9.5,30.210943824373054,-97.96796718629055
78738,4,8.75,30.307156998654474,-97.94399316693688
78741,13,7.153846153846154,30.230581575596503,-97.72745282930656
78742,4,8.0,30.237112,-97.654575
78744,5,7.2,30.204092799999994,-97.73930620000002
78745,16,7.5,30.209559586017438,-97.7937299463629
78746,13,7.6923076923076925,30.27414626388998,-97.80401083101758
78747,1,8.0,30.157529118847,-97.74448223412041
78748,8,6.5,30.174284529308764,-97.83136964998579
78749,12,6.166666666666667,30.21719660104579,-97.85918973557085
78750,10,7.3,30.44670051008827,-97.78758489856511
78751,45,7.511111111111111,30.31031863682664,-97.72417339803432
78752,30,7.266666666666667,30.332948503670245,-97.711772417513
78753,21,6.761904761904762,30.356878754485283,-97.69316989304566
78754,1,8.0,30.376633,-97.659807
78756,49,8.081632653061224,30.316026771090748,-97.7410007673442
78757,46,7.804347826086956,30.34996034425449,-97.73221469109185
78758,21,6.761904761904762,30.37952704517951,-97.71147357469093
78759,18,8.11111111111111,30.394403246135337,-97.74731420282029
78798,12,8.0,30.308485439388104,-97.75060772895812
98166,1,7.0,47.46656,-122.34241000000002
